liked,familiar,no.music,with.music
Disliked,Familiar,4,7
Disliked,Unfamiliar,4,8
Liked,Familiar,6,7
Disliked,Familiar,5,3
Liked,Familiar,3,3
Liked,Familiar,2,1
Liked,Unfamiliar,6,6
Disliked,Familiar,6,8
Disliked,Unfamiliar,7,9
Liked,Unfamiliar,2,8
Disliked,Unfamiliar,7,7
Liked,Familiar,3,5
Liked,Unfamiliar,5,7
Disliked,Familiar,7,8
Liked,Unfamiliar,6,4
Disliked,Unfamiliar,3,5
Disliked,Familiar,7,4
Disliked,Familiar,7,8
Liked,Unfamiliar,7,7
Disliked,Unfamiliar,7,5
Liked,Unfamiliar,5,6
Liked,Familiar,6,7
Liked,Familiar,4,4
Liked,Familiar,7,4
Liked,Familiar,5,3
Disliked,Familiar,1,3
Disliked,Unfamiliar,7,7
Liked,Unfamiliar,5,5
Disliked,Unfamiliar,3,3
Liked,Unfamiliar,5,2
Disliked,Unfamiliar,7,9
Disliked,Familiar,5,6
Disliked,Familiar,6,6
Disliked,Familiar,2,4
Liked,Familiar,6,4
Disliked,Familiar,3,5
Liked,Unfamiliar,6,6
Disliked,Unfamiliar,5,7
Liked,Familiar,5,6
Liked,Unfamiliar,8,7
Disliked,Familiar,1,1
Disliked,Unfamiliar,7,7
Liked,Familiar,8,9
Liked,Familiar,3,2
Disliked,Unfamiliar,8,9
Disliked,Unfamiliar,3,4
Liked,Unfamiliar,6,8
Liked,Unfamiliar,5,5
Liked,Familiar,5,4
Disliked,Unfamiliar,7,8
Liked,Unfamiliar,5,7
Disliked,Unfamiliar,5,6
Liked,Familiar,8,6
Disliked,Unfamiliar,1,1
Disliked,Familiar,4,5
Liked,Familiar,6,6
Disliked,Familiar,5,6
Disliked,Familiar,7,8
Liked,Unfamiliar,5,5
Liked,Unfamiliar,6,4
Liked,Unfamiliar,0,0
Liked,Familiar,8,6
Disliked,Familiar,4,3
Disliked,Unfamiliar,4,6
Disliked,Unfamiliar,4,4
Disliked,Familiar,6,4
Liked,Unfamiliar,6,4
Liked,Familiar,6,5
Liked,Unfamiliar,3,3
Liked,Familiar,8,7
Disliked,Unfamiliar,8,7
Disliked,Unfamiliar,7,8
Disliked,Familiar,6,5
Disliked,Unfamiliar,8,8
Liked,Familiar,4,7
Disliked,Familiar,5,7
Liked,Unfamiliar,5,6
Liked,Unfamiliar,8,9
Liked,Familiar,5,1
Disliked,Familiar,7,7
Liked,Familiar,5,4
Liked,Familiar,3,4
Disliked,Unfamiliar,4,5
Disliked,Unfamiliar,4,6
Disliked,Unfamiliar,5,4
Liked,Unfamiliar,6,6
Liked,Familiar,4,3
Liked,Unfamiliar,4,4
Disliked,Familiar,7,7
Disliked,Familiar,7,8
Liked,Unfamiliar,4,4
Disliked,Unfamiliar,6,5
Liked,Unfamiliar,3,4
Disliked,Familiar,5,6
Liked,Familiar,7,7
Disliked,Familiar,2,3
Disliked,Familiar,8,9
Disliked,Unfamiliar,4,3
Liked,Familiar,3,3
Disliked,Familiar,7,6
Liked,Familiar,7,6
Liked,Familiar,3,2
Liked,Unfamiliar,6,5
Disliked,Familiar,4,3
Disliked,Unfamiliar,4,5
Liked,Unfamiliar,5,6
Disliked,Unfamiliar,7,5
Liked,Familiar,8,7
Liked,Unfamiliar,2,4
Disliked,Familiar,1,4
Liked,Unfamiliar,2,4
Disliked,Unfamiliar,5,3
